gene	acession	vfid	VFID	VF_Name	VF_FullName	Bacteria	VFCID	VFcategory	Characteristics	Structure	Function	Mechanism	Reference
spaP	YP_111543	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaV	YP_111544	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaU	YP_111545	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaT	YP_111546	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaS	YP_111547	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaR	YP_111548	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaQ	YP_111549	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaP	YP_111550	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaO	YP_111551	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaN	YP_111552	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaM	YP_111553	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaL	YP_111554	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
bsaK	YP_111555	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
basJ	YP_111556	VF0428	VF0428	Bsa T3SS		Burkholderia pseudomallei	VFC0086	Effector delivery system	"Mxi-SpaA like T3SS, shares homology to Salmonella SPI-1 and Shigella T3SSs; Two additional T3SSs are discovered in B. Pseudomallei. T3SS1 is only present in B. pseudomallei and not in Burkholderia mallei or Burkholderia thailandensis, whereas T3SS2 and T3SS3 (Bsa) are present in all three species. T3SS1 and T3SS2 are closely related to the T3SS of the plant pathogens R. solanacearum and Xanthomonas spp. T3SS1 and T3SS2 are required during B. pseudomallei infection of tomato plants but not for infection of hamsters."		Delivering effector proteins into host cells to manipulate host cell functions	"Three effectors: BopE, homolog of SopE and SopE2 of Salmonella, functions as GTPase involving bacterial invasion. BopA, homolog of IcsB of Shigella, suppresses autophagy. BopC, function unkown."	Abstract(s) in PubMed
